x,y,z,Bx,By,Bz
0.001,0,-0.003,-0.0564524,-0.00984711,0.679644
0.001,0,-0.0025,-0.0545009,-0.0110864,0.738823
0.001,0,-0.002,-0.0523017,-0.0120461,0.795351
0.001,0,-0.0015,-0.0508471,-0.0127836,0.849472
0.001,0,-0.001,-0.0507984,-0.013488,0.902559
0.001,0,-0.0005,-0.0520946,-0.0144252,0.956509
0.001,0,0,-0.0538017,-0.0158439,1.01279
0.001,0,0.0005,-0.0542447,-0.0178826,1.07144
0.001,0,0.001,-0.0513751,-0.0204978,1.13038
0.001,0,0.0015,-0.0433171,-0.023426,1.18514
0.001,0,0.002,-0.0290146,-0.0261987,1.22936
0.001,0,0.0025,-0.00880137,-0.0282336,1.25595
0.001,0,0.003,0.0153973,-0.0290046,1.25891
0.001,0,0.0035,0.0404613,-0.0282286,1.23506
0.001,0,0.004,0.0629924,-0.0259718,1.18507
0.001,0,0.0045,0.0803267,-0.0226107,1.11319
0.001,0,0.005,0.0911588,-0.0186784,1.02598
0.001,0,0.0055,0.0955738,-0.0146886,0.930578
0.001,0,0.006,0.0946361,-0.0110194,0.833381
0.001,0,0.0065,0.0898412,-0.00787979,0.739253
0.001,0,0.007,0.0826739,-0.00533633,0.651387
0.001,0,0.0075,0.0743604,-0.00336141,0.571514
0.001,0,0.008,0.065788,-0.00187947,0.500269
0.001,0,0.0085,0.0575296,-0.000799416,0.437557
0.001,0,0.009,0.0499094,-3.34081e-05,0.382853
0.001,0,0.0095,0.0430771,0.000494537,0.33541
0.001,0,0.01,0.0370688,0.00084608,0.294405
0.0015,0,-0.01,-0.0208698,0.000171419,0.128358
0.0015,0,-0.0095,-0.0240447,0.000111087,0.143632
0.0015,0,-0.009,-0.027739,1.85326e-05,0.161203
0.0015,0,-0.0085,-0.0320205,-0.000118696,0.181454
0.0015,0,-0.008,-0.0369503,-0.000317318,0.204819
0.0015,0,-0.0075,-0.0425692,-0.000599414,0.231781
0.0015,0,-0.007,-0.048878,-0.000993397,0.262863
0.0015,0,-0.0065,-0.0558063,-0.00153439,0.298592
0.0015,0,-0.006,-0.0631717,-0.00226299,0.339449
0.0015,0,-0.0055,-0.0706329,-0.00322081,0.385772
0.0015,0,-0.005,-0.0776506,-0.00444027,0.437615
0.0015,0,-0.0045,-0.0834906,-0.00592655,0.494559
0.0015,0,-0.004,-0.0873227,-0.00763246,0.555515
0.0015,0,-0.0035,-0.0884666,-0.00943568,0.618632
0.0015,0,-0.003,-0.086773,-0.0111411,0.681485
0.0015,0,-0.0025,-0.0829708,-0.0125356,0.741683
0.0015,0,-0.002,-0.0786723,-0.0134943,0.797813
0.0015,0,-0.0015,-0.0758286,-0.0140831,0.850218
0.0015,0,-0.001,-0.0758218,-0.0145755,0.901041
0.0015,0,-0.0005,-0.0786976,-0.015362,0.953359
0.0015,0,0,-0.082913,-0.016809,1.00981
0.0015,0,0.0005,-0.0855929,-0.0191354,1.07125
0.0015,0,0.001,-0.0831324,-0.0223236,1.13581
0.0015,0,0.0015,-0.0720757,-0.0260601,1.19844
0.0015,0,0.002,-0.0502571,-0.0297266,1.25126
0.0015,0,0.0025,-0.0179593,-0.0325022,1.285
0.0015,0,0.003,0.0215285,-0.0336136,1.2915
0.0015,0,0.0035,0.0625845,-0.0326468,1.26645
0.0015,0,0.004,0.0990836,-0.0297284,1.21091
0.0015,0,0.0045,0.126426,-0.0254448,1.13082
0.0015,0,0.005,0.142661,-0.0205693,1.03478
0.0015,0,0.0055,0.148353,-0.0157848,0.931616
0.0015,0,0.006,0.145636,-0.0115368,0.828581
0.0015,0,0.0065,0.137165,-0.00802521,0.730691
0.0015,0,0.007,0.125382,-0.00527046,0.640847
0.0015,0,0.0075,0.112184,-0.0031934,0.560323
0.0015,0,0.008,0.0988705,-0.00167582,0.489304
0.0015,0,0.0085,0.0862359,-0.00059668,0.427333
0.0015,0,0.009,0.0747002,0.000150821,0.373621
0.0015,0,0.0095,0.0644332,0.000653653,0.327253
0.0015,0,0.01,0.0554505,0.000979334,0.287302
0.002,0,-0.01,-0.0275932,0.000153599,0.124895
0.002,0,-0.0095,-0.0317692,9.34324e-05,0.139594
0.002,0,-0.009,-0.0366391,1.16277e-06,0.156506
0.002,0,-0.0085,-0.0423024,-0.000136028,0.176015
0.002,0,-0.008,-0.0488551,-0.000335721,0.198564
0.002,0,-0.0075,-0.0563758,-0.000621781,0.224666
0.002,0,-0.007,-0.0648995,-0.00102607,0.2549
0.002,0,-0.0065,-0.0743783,-0.00158997,0.289896
0.002,0,-0.006,-0.0846213,-0.00236475,0.33029
0.002,0,-0.0055,-0.0952141,-0.0034088,0.376647
0.002,0,-0.005,-0.10543,-0.00477789,0.429295
0.002,0,-0.0045,-0.114175,-0.00650305,0.488072
0.002,0,-0.004,-0.120054,-0.00855147,0.551967
0.002,0,-0.0035,-0.121716,-0.0107768,0.618786
0.002,0,-0.003,-0.118555,-0.0128934,0.685156
0.002,0,-0.0025,-0.111543,-0.0145406,0.747312
0.002,0,-0.002,-0.103501,-0.0154692,0.802753
0.002,0,-0.0015,-0.0981313,-0.0157494,0.851883
0.002,0,-0.001,-0.0981625,-0.0158091,0.898246
0.002,0,-0.0005,-0.103894,-0.0162576,0.947029
0.002,0,0,-0.112914,-0.0176486,1.00286
0.002,0,0.0005,-0.120669,-0.0203241,1.068
0.002,0,0.001,-0.121336,-0.0243246,1.1411
0.002,0,0.0015,-0.108981,-0.0292972,1.2164
0.002,0,0.002,-0.0793504,-0.0344142,1.28368
0.002,0,0.0025,-0.0321698,-0.0384467,1.32979
0.002,0,0.003,0.0273238,-0.0401494,1.34247
0.002,0,0.0035,0.089371,-0.0388511,1.31522
0.002,0,0.004,0.143363,-0.0348152,1.25001
0.002,0,0.0045,0.181908,-0.0290494,1.15611
0.002,0,0.005,0.202694,-0.0227578,1.04597
0.002,0,0.0055,0.207669,-0.0168738,0.931074
0.002,0,0.006,0.200925,-0.0118981,0.819771
0.002,0,0.0065,0.186825,-0.00797002,0.716956
0.002,0,0.007,0.168974,-0.00501466,0.624832
0.002,0,0.0075,0.149934,-0.00286783,0.543857
0.002,0,0.008,0.131318,-0.00135073,0.473517
0.002,0,0.0085,0.114025,-0.000304526,0.412834
0.002,0,0.009,0.0984743,0.00039884,0.360671
0.002,0,0.0095,0.0847819,0.000857184,0.315898
0.002,0,0.01,0.0728929,0.00114285,0.277468
0.0025,0,-0.01,-0.0338634,0.000138726,0.120537
0.0025,0,-0.0095,-0.038967,8.02181e-05,0.134503
0.0025,0,-0.009,-0.0449338,-9.6295e-06,0.150568
0.0025,0,-0.0085,-0.0518999,-0.000143753,0.169106
0.0025,0,-0.008,-0.0600066,-0.000340285,0.190568
0.0025,0,-0.0075,-0.0693869,-0.000624565,0.21549
0.0025,0,-0.007,-0.0801394,-0.00103174,0.244508
0.0025,0,-0.0065,-0.0922826,-0.0016099,0.278362
0.0025,0,-0.006,-0.105679,-0.00242301,0.317887
0.0025,0,-0.0055,-0.119916,-0.0035519,0.363957
